code,network,station,id,longitude,latitude,elevation
CO0300,SS,14803,SS.14803,7.275237000000000,47.327365000000000,545.100000000000023
CH0277,SS,17484,SS.17484,7.337547000000000,47.325533999999998,578.399999999999977
CH0278,SS,17654,SS.17654,7.351522000000000,47.327024000000002,535.899999999999977
CO2036,SS,21088,SS.21088,7.288536000000000,47.340623999999998,507.600000000000023
DE1037,SS,21109,SS.21109,7.314869000000000,47.369695999999998,536.200000000000045
CO0337,SS,21153,SS.21153,7.357837000000000,47.343130000000002,536.100000000000023
DE0456,SS,21161,SS.21161,7.359951000000000,47.372283000000003,427.300000000000011
GL2020,SS,21206,SS.21206,7.208450000000000,47.329985000000001,548.299999999999955
DE0395,SS,21221,SS.21221,7.332087000000000,47.356602000000002,425.300000000000011
CO2034,SS,21226,SS.21226,7.282044000000000,47.339612000000002,505.500000000000000
CO2058,SS,21281,SS.21281,7.374256000000000,47.345883999999998,433.500000000000000
BO0412,SS,21284,SS.21284,7.204820000000000,47.345933000000002,548.799999999999955
DE0424,SS,21288,SS.21288,7.331576000000000,47.360016999999999,427.399999999999977
CO0330,SS,21293,SS.21293,7.283358000000000,47.333466999999999,480.500000000000000
BA0356,SS,21313,SS.21313,7.237987000000000,47.338827999999999,483.600000000000023
CO0332,SS,21318,SS.21318,7.311563000000000,47.337760000000003,461.800000000000011
DE1035,SS,21328,SS.21328,7.300344000000000,47.369610000000002,596.899999999999977
DE0448,SS,21333,SS.21333,7.277134000000000,47.363368999999999,553.299999999999955
CO2031,SS,21345,SS.21345,7.269310000000000,47.336969000000003,461.199999999999989
CO2037,SS,21437,SS.21437,7.297896000000000,47.341284999999999,538.799999999999955
BA0385,SS,21452,SS.21452,7.228655000000000,47.342083000000002,489.600000000000023
DE0392,SS,21453,SS.21453,7.298652000000000,47.351272000000002,587.799999999999955
BO0443,SS,21455,SS.21455,7.221228000000000,47.354495000000000,530.799999999999955
CO2042,SS,21527,SS.21527,7.310526000000000,47.341070999999999,439.199999999999989
RO2052,SS,21531,SS.21531,7.350582000000000,47.345827000000000,489.600000000000023
GL2018,SS,21533,SS.21533,7.193749000000000,47.326450000000001,598.700000000000045
CO2046,SS,21548,SS.21548,7.326668000000000,47.342222000000000,446.899999999999977
CO0338,SS,21555,SS.21555,7.364228000000000,47.340038999999997,448.600000000000023
BA0388,SS,21586,SS.21586,7.258945000000000,47.345337000000001,469.800000000000011
CO0334,SS,21598,SS.21598,7.325783000000000,47.340654999999998,450.199999999999989
CO0276,SS,21605,SS.21605,7.333904000000000,47.326790000000003,567.899999999999977
CO0329,SS,21628,SS.21628,7.275961000000000,47.332512000000001,488.000000000000000
RO0336,SS,21632,SS.21632,7.346675000000000,47.341805000000001,493.399999999999977
CO2048,SS,21678,SS.21678,7.329496000000000,47.344064000000003,439.600000000000023
BA2025,SS,21701,SS.21701,7.239039000000000,47.333888999999999,488.800000000000011
BA0416,SS,21707,SS.21707,7.251193000000000,47.352652999999997,485.500000000000000
BA0324,SS,21712,SS.21712,7.217655000000000,47.324649999999998,553.899999999999977
BA2026,SS,21756,SS.21756,7.246364000000000,47.333224999999999,506.100000000000023
CO0303,SS,22227,SS.22227,7.306657000000000,47.327060000000003,562.399999999999977
DE1038,SS,22252,SS.22252,7.320169000000000,47.367243999999999,463.899999999999977
